                    ************************************************************************************************
                    *  Z= 43 A=100: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc100 and ldmodel= 1  *
 180.00  3.337  2.18E+38 2.03E+37 5.12E+38 9.14E+34 2.72E+35 4.45E+35 6.06E+35 7.52E+35 8.78E+35 9.83E+35 1.06E+36 1.12E+36 1.16E+36 1.17E+36 1.16E+36 1.13E+36 1.09E+36 1.03E+36 9.59E+35 8.84E+35 8.04E+35 7.23E+35 6.42E+35 5.63E+35 4.89E+35 4.19E+35 3.56E+35 2.99E+35 2.48E+35 2.04E+35 1.66E+35 1.33E+35 1.06E+35
 190.00  3.429  2.91E+39 2.69E+38 6.85E+39 1.18E+36 3.51E+36 5.75E+36 7.85E+36 9.74E+36 1.14E+37 1.28E+37 1.39E+37 1.46E+37 1.51E+37 1.53E+37 1.52E+37 1.49E+37 1.43E+37 1.36E+37 1.28E+37 1.18E+37 1.08E+37 9.73E+36 8.68E+36 7.65E+36 6.67E+36 5.76E+36 4.91E+36 4.15E+36 3.46E+36 2.86E+36 2.34E+36 1.90E+36 1.52E+36
 200.00  3.518  3.64E+40 3.35E+39 8.60E+40 1.43E+37 4.27E+37 6.99E+37 9.54E+37 1.19E+38 1.39E+38 1.56E+38 1.69E+38 1.79E+38 1.85E+38 1.88E+38 1.87E+38 1.84E+38 1.78E+38 1.69E+38 1.59E+38 1.48E+38 1.35E+38 1.23E+38 1.10E+38 9.73E+37 8.52E+37 7.39E+37 6.33E+37 5.38E+37 4.52E+37 3.76E+37 3.09E+37 2.52E+37 2.04E+37

                    ************************************************************************************************
                    *  Z= 43 A=100: Negative-Parity Spin-dependent Level Density [MeV-1] for Tc100 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.124  5.88E+00 2.35E+01 1.69E+02 1.41E+00 3.73E+00 4.88E+00 4.75E+00 3.76E+00 2.50E+00 1.43E+00 7.04E-01 3.02E-01 1.13E-01 3.72E-02 1.07E-02 2.71E-03 6.05E-04 1.19E-04 2.06E-05 3.14E-06 4.23E-07 5.03E-08 5.28E-09 4.90E-10 4.01E-11 2.91E-12 1.86E-13 1.05E-14 5.27E-16 2.33E-17 9.14E-19 3.16E-20 9.69E-22
   0.50  0.176  1.45E+01 3.44E+01 2.52E+02 1.98E+00 5.28E+00 6.97E+00 6.87E+00 5.54E+00 3.78E+00 2.21E+00 1.13E+00 5.03E-01 1.96E-01 6.76E-02 2.05E-02 5.48E-03 1.30E-03 2.72E-04 5.05E-05 8.29E-06 1.21E-06 1.56E-07 1.79E-08 1.82E-09 1.65E-10 1.32E-11 9.41E-13 5.95E-14 3.35E-15 1.67E-16 7.41E-18 2.92E-19 1.02E-20
   0.75  0.215  2.70E+01 5.03E+01 3.83E+02 2.69E+00 7.23E+00 9.70E+00 9.82E+00 8.19E+00 5.82E+00 3.59E+00 1.94E+00 9.26E-01 3.91E-01 1.46E-01 4.87E-02 1.44E-02 3.82E-03 9.00E-04 1.90E-04 3.57E-05 6.01E-06 9.05E-07 1.22E-07 1.47E-08 1.59E-09 1.53E-10 1.33E-11 1.03E-12 7.16E-14 4.46E-15 2.49E-16 1.24E-17 5.57E-19
   1.00  0.249  4.54E+01 7.36E+01 5.80E+02 3.67E+00 9.94E+00 1.35E+01 1.40E+01 1.20E+01 8.87E+00 5.72E+00 3.26E+00 1.65E+00 7.42E-01 2.99E-01 1.08E-01 3.49E-02 1.01E-02 2.65E-03 6.24E-04 1.32E-04 2.52E-05 4.33E-06 6.71E-07 9.36E-08 1.18E-08 1.34E-09 1.37E-10 1.27E-11 1.06E-12 7.98E-14 5.43E-15 3.33E-16 1.85E-17
   1.25  0.278  7.23E+01 1.08E+02 8.77E+02 5.02E+00 1.37E+01 1.89E+01 1.99E+01 1.76E+01 1.34E+01 8.97E+00 5.34E+00 2.84E+00 1.36E+00 5.83E-01 2.26E-01 7.89E-02 2.49E-02 7.13E-03 1.84E-03 4.33E-04 9.20E-05 1.77E-05 3.10E-06 4.93E-07 7.10E-08 9.28E-09 1.10E-09 1.19E-10 1.16E-11 1.04E-12 8.37E-14 6.15E-15 4.11E-16
   1.50  0.305  1.12E+02 1.57E+02 1.32E+03 6.92E+00 1.90E+01 2.65E+01 2.84E+01 2.56E+01 2.01E+01 1.39E+01 8.61E+00 4.79E+00 2.41E+00 1.09E+00 4.50E-01 1.68E-01 5.73E-02 1.77E-02 5.00E-03 1.28E-03 3.00E-04 6.41E-05 1.25E-05 2.22E-06 3.59E-07 5.32E-08 7.19E-09 8.88E-10 1.00E-10 1.03E-11 9.72E-13 8.36E-14 6.57E-15
   1.75  0.329  1.69E+02 2.30E+02 1.99E+03 9.55E+00 2.63E+01 3.71E+01 4.04E+01 3.72E+01 2.99E+01 2.13E+01 1.37E+01 7.92E+00 4.16E+00 1.99E+00 8.66E-01 3.44E-01 1.25E-01 4.14E-02 1.26E-02 3.50E-03 8.91E-04 2.08E-04 4.46E-05 8.75E-06 1.58E-06 2.61E-07 3.95E-08 5.51E-09 7.04E-10 8.26E-11 8.90E-12 8.81E-13 8.00E-14
   2.00  0.352  2.53E+02 3.37E+02 2.99E+03 1.32E+01 3.67E+01 5.21E+01 5.75E+01 5.38E+01 4.42E+01 3.25E+01 2.15E+01 1.29E+01 7.05E+00 3.52E+00 1.61E+00 6.75E-01 2.60E-01 9.18E-02 2.98E-02 8.90E-03 2.45E-03 6.20E-04 1.44E-04 3.10E-05 6.14E-06 1.12E-06 1.88E-07 2.92E-08 4.17E-09 5.50E-10 6.68E-11 7.49E-12 7.75E-13
   2.25  0.373  3.76E+02 4.92E+02 4.49E+03 1.84E+01 5.11E+01 7.33E+01 8.19E+01 7.78E+01 6.53E+01 4.91E+01 3.34E+01 2.07E+01 1.17E+01 6.11E+00 2.92E+00 1.28E+00 5.20E-01 1.94E-01 6.71E-02 2.14E-02 6.29E-03 1.71E-03 4.31E-04 1.00E-04 2.16E-05 4.30E-06 7.93E-07 1.35E-07 2.14E-08 3.13E-09 4.24E-10 5.32E-11 6.19E-12
   2.50  0.393  5.56E+02 7.20E+02 6.74E+03 2.56E+01 7.15E+01 1.03E+02 1.17E+02 1.12E+02 9.60E+01 7.37E+01 5.15E+01 3.29E+01 1.93E+01 1.04E+01 5.16E+00 2.37E+00 1.01E+00 3.96E-01 1.44E-01 4.88E-02 1.53E-02 4.44E-03 1.20E-03 2.99E-04 6.95E-05 1.50E-05 3.01E-06 5.60E-07 9.70E-08 1.56E-08 2.33E-09 3.24E-10 4.18E-11
   2.75  0.412  8.20E+02 1.05E+03 1.01E+04 3.57E+01 1.00E+02 1.46E+02 1.66E+02 1.62E+02 1.41E+02 1.10E+02 7.88E+01 5.17E+01 3.12E+01 1.74E+01 8.96E+00 4.28E+00 1.90E+00 7.82E-01 2.99E-01 1.07E-01 3.53E-02 1.09E-02 3.12E-03 8.35E-04 2.08E-04 4.82E-05 1.04E-05 2.10E-06 3.95E-07 6.93E-08 1.13E-08 1.72E-09 2.45E-10
   3.00  0.431  1.20E+03 1.54E+03 1.51E+04 5.00E+01 1.40E+02 2.05E+02 2.36E+02 2.34E+02 2.06E+02 1.64E+02 1.20E+02 8.05E+01 4.99E+01 2.87E+01 1.53E+01 7.58E+00 3.49E+00 1.50E+00 6.01E-01 2.24E-01 7.82E-02 2.55E-02 7.74E-03 2.20E-03 5.83E-04 1.44E-04 3.35E-05 7.25E-06 1.47E-06 2.78E-07 4.94E-08 8.18E-09 1.27E-09
   3.25  0.448  1.77E+03 2.25E+03 2.25E+04 7.01E+01 1.97E+02 2.90E+02 3.37E+02 3.37E+02 3.01E+02 2.44E+02 1.82E+02 1.25E+02 7.92E+01 4.68E+01 2.57E+01 1.32E+01 6.29E+00 2.81E+00 1.17E+00 4.58E-01 1.67E-01 5.72E-02 1.83E-02 5.49E-03 1.54E-03 4.06E-04 1.00E-04 2.32E-05 5.04E-06 1.03E-06 1.96E-07 3.51E-08 5.89E-09
   3.50  0.465  2.59E+03 3.29E+03 3.37E+04 9.84E+01 2.78E+02 4.11E+02 4.80E+02 4.85E+02 4.39E+02 3.61E+02 2.74E+02 1.92E+02 1.25E+02 7.55E+01 4.26E+01 2.25E+01 1.11E+01 5.15E+00 2.23E+00 9.07E-01 3.46E-01 1.24E-01 4.16E-02 1.31E-02 3.89E-03 1.08E-03 2.83E-04 6.97E-05 1.61E-05 3.51E-06 7.17E-07 1.38E-07 2.49E-08
   3.75  0.482  3.80E+03 4.82E+03 5.02E+04 1.38E+02 3.92E+02 5.82E+02 6.84E+02 6.98E+02 6.39E+02 5.34E+02 4.11E+02 2.93E+02 1.95E+02 1.21E+02 7.00E+01 3.80E+01 1.93E+01 9.25E+00 4.15E+00 1.75E+00 6.95E-01 2.59E-01 9.11E-02 3.01E-02 9.38E-03 2.75E-03 7.59E-04 1.98E-04 4.84E-05 1.12E-05 2.44E-06 5.00E-07 9.67E-08
   4.00  0.497  5.56E+03 7.05E+03 7.49E+04 1.95E+02 5.53E+02 8.24E+02 9.77E+02 1.00E+03 9.30E+02 7.87E+02 6.15E+02 4.46E+02 3.02E+02 1.91E+02 1.14E+02 6.33E+01 3.32E+01 1.63E+01 7.58E+00 3.31E+00 1.36E+00 5.29E-01 1.93E-01 6.68E-02 2.18E-02 6.69E-03 1.94E-03 5.32E-04 1.38E-04 3.36E-05 7.77E-06 1.69E-06 3.49E-07
   4.25  0.513  8.14E+03 1.03E+04 1.12E+05 2.75E+02 7.81E+02 1.17E+03 1.39E+03 1.45E+03 1.35E+03 1.16E+03 9.17E+02 6.77E+02 4.66E+02 3.01E+02 1.83E+02 1.04E+02 5.61E+01 2.84E+01 1.36E+01 6.13E+00 2.61E+00 1.05E+00 3.99E-01 1.44E-01 4.88E-02 1.57E-02 4.76E-03 1.37E-03 3.73E-04 9.59E-05 2.34E-05 5.39E-06 1.18E-06
   4.50  0.528  1.19E+04 1.51E+04 1.66E+05 3.89E+02 1.11E+03 1.66E+03 1.99E+03 2.08E+03 1.96E+03 1.70E+03 1.36E+03 1.02E+03 7.15E+02 4.70E+02 2.91E+02 1.70E+02 9.33E+01 4.85E+01 2.38E+01 1.10E+01 4.85E+00 2.01E+00 7.92E-01 2.95E-01 1.04E-01 3.47E-02 1.10E-02 3.30E-03 9.39E-04 2.53E-04 6.47E-05 1.57E-05 3.60E-06
   4.75  0.542  1.74E+04 2.19E+04 2.44E+05 5.50E+02 1.57E+03 2.36E+03 2.84E+03 2.99E+03 2.84E+03 2.47E+03 2.00E+03 1.52E+03 1.07E+03 7.16E+02 4.50E+02 2.67E+02 1.49E+02 7.89E+01 3.95E+01 1.87E+01 8.41E+00 3.58E+00 1.44E+00 5.52E-01 2.00E-01 6.89E-02 2.25E-02 6.97E-03 2.05E-03 5.72E-04 1.52E-04 3.81E-05 9.11E-06
   5.00  0.556  2.53E+04 3.15E+04 3.56E+05 7.73E+02 2.21E+03 3.33E+03 4.03E+03 4.25E+03 4.06E+03 3.57E+03 2.91E+03 2.23E+03 1.60E+03 1.08E+03 6.86E+02 4.12E+02 2.34E+02 1.26E+02 6.44E+01 3.11E+01 1.43E+01 6.21E+00 2.56E+00 1.00E+00 3.74E-01 1.32E-01 4.44E-02 1.42E-02 4.30E-03 1.24E-03 3.39E-04 8.84E-05 2.19E-05
   5.50  0.583  5.72E+04 6.39E+04 7.37E+05 1.50E+03 4.28E+03 6.49E+03 7.89E+03 8.40E+03 8.12E+03 7.23E+03 6.00E+03 4.66E+03 3.41E+03 2.35E+03 1.53E+03 9.47E+02 5.54E+02 3.08E+02 1.62E+02 8.13E+01 3.87E+01 1.75E+01 7.54E+00 3.09E+00 1.20E+00 4.47E-01 1.58E-01 5.31E-02 1.70E-02 5.19E-03 1.51E-03 4.18E-04 1.10E-04
   6.00  0.609  1.20E+05 1.26E+05 1.48E+06 2.82E+03 8.09E+03 1.23E+04 1.51E+04 1.62E+04 1.58E+04 1.42E+04 1.19E+04 9.43E+03 7.01E+03 4.93E+03 3.29E+03 2.08E+03 1.25E+03 7.11E+02 3.86E+02 1.99E+02 9.79E+01 4.59E+01 2.05E+01 8.72E+00 3.54E+00 1.37E+00 5.06E-01 1.78E-01 5.99E-02 1.92E-02 5.89E-03 1.72E-03 4.80E-04
   6.50  0.634  2.40E+05 2.41E+05 2.89E+06 5.21E+03 1.50E+04 2.28E+04 2.81E+04 3.03E+04 2.98E+04 2.71E+04 2.31E+04 1.85E+04 1.40E+04 9.99E+03 6.78E+03 4.37E+03 2.68E+03 1.57E+03 8.71E+02 4.62E+02 2.34E+02 1.13E+02 5.21E+01 2.30E+01 9.65E+00 3.88E+00 1.49E+00 5.46E-01 1.92E-01 6.42E-02 2.06E-02 6.31E-03 1.85E-03
   7.00  0.658  4.65E+05 4.50E+05 5.51E+06 9.41E+03 2.71E+04 4.15E+04 5.12E+04 5.56E+04 5.51E+04 5.06E+04 4.35E+04 3.53E+04 2.70E+04 1.96E+04 1.35E+04 8.88E+03 5.56E+03 3.31E+03 1.89E+03 1.03E+03 5.33E+02 2.64E+02 1.25E+02 5.69E+01 2.47E+01 1.03E+01 4.08E+00 1.55E+00 5.65E-01 1.97E-01 6.58E-02 2.10E-02 6.44E-03
   7.50  0.681  8.78E+05 8.25E+05 1.03E+07 1.67E+04 4.81E+04 7.38E+04 9.15E+04 1.00E+05 9.97E+04 9.24E+04 8.02E+04 6.56E+04 5.09E+04 3.75E+04 2.62E+04 1.75E+04 1.11E+04 6.78E+03 3.94E+03 2.19E+03 1.16E+03 5.91E+02 2.88E+02 1.34E+02 5.99E+01 2.56E+01 1.05E+01 4.13E+00 1.56E+00 5.62E-01 1.95E-01 6.46E-02 2.06E-02
   8.00  0.704  1.62E+06 1.48E+06 1.87E+07 2.91E+04 8.39E+04 1.29E+05 1.61E+05 1.76E+05 1.77E+05 1.65E+05 1.45E+05 1.20E+05 9.37E+04 6.98E+04 4.96E+04 3.36E+04 2.17E+04 1.34E+04 7.95E+03 4.50E+03 2.44E+03 1.27E+03 6.33E+02 3.02E+02 1.39E+02 6.09E+01 2.57E+01 1.04E+01 4.04E+00 1.50E+00 5.38E-01 1.85E-01 6.10E-02
   8.50  0.725  2.93E+06 2.62E+06 3.35E+07 4.99E+04 1.44E+05 2.23E+05 2.78E+05 3.06E+05 3.09E+05 2.90E+05 2.56E+05 2.14E+05 1.69E+05 1.27E+05 9.16E+04 6.28E+04 4.12E+04 2.59E+04 1.56E+04 8.99E+03 4.97E+03 2.64E+03 1.34E+03 6.55E+02 3.07E+02 1.38E+02 5.99E+01 2.49E+01 9.95E+00 3.82E+00 1.41E+00 4.99E-01 1.70E-01
   9.00  0.746  5.20E+06 4.55E+06 5.90E+07 8.44E+04 2.44E+05 3.78E+05 4.73E+05 5.23E+05 5.31E+05 5.02E+05 4.46E+05 3.75E+05 2.99E+05 2.28E+05 1.66E+05 1.15E+05 7.65E+04 4.88E+04 2.98E+04 1.75E+04 9.82E+03 5.31E+03 2.75E+03 1.37E+03 6.58E+02 3.03E+02 1.34E+02 5.72E+01 2.34E+01 9.23E+00 3.50E+00 1.28E+00 4.48E-01
   9.50  0.767  9.10E+06 7.79E+06 1.02E+08 1.41E+05 4.08E+05 6.32E+05 7.93E+05 8.82E+05 8.98E+05 8.54E+05 7.64E+05 6.47E+05 5.21E+05 4.01E+05 2.94E+05 2.07E+05 1.39E+05 8.98E+04 5.56E+04 3.31E+04 1.89E+04 1.04E+04 5.49E+03 2.79E+03 1.36E+03 6.41E+02 2.90E+02 1.26E+02 5.30E+01 2.14E+01 8.32E+00 3.12E+00 1.12E+00
  10.00  0.787  1.57E+07 1.31E+07 1.75E+08 2.32E+05 6.72E+05 1.04E+06 1.31E+06 1.47E+06 1.50E+06 1.43E+06 1.29E+06 1.10E+06 8.93E+05 6.92E+05 5.13E+05 3.64E+05 2.48E+05 1.62E+05 1.02E+05 6.14E+04 3.56E+04 1.99E+04 1.07E+04 5.51E+03 2.74E+03 1.32E+03 6.07E+02 2.70E+02 1.16E+02 4.78E+01 1.90E+01 7.30E+00 2.70E+00
  11.00  0.825  5.17E+07 3.61E+07 4.90E+08 6.09E+05 1.77E+06 2.75E+06 3.48E+06 3.91E+06 4.03E+06 3.88E+06 3.53E+06 3.05E+06 2.51E+06 1.98E+06 1.49E+06 1.08E+06 7.49E+05 5.00E+05 3.21E+05 1.99E+05 1.18E+05 6.79E+04 3.76E+04 2.00E+04 1.03E+04 5.11E+03 2.44E+03 1.13E+03 5.03E+02 2.16E+02 8.97E+01 3.59E+01 1.39E+01
  12.00  0.862  1.46E+08 9.45E+07 1.31E+09 1.53E+06 4.46E+06 6.96E+06 8.83E+06 9.97E+06 1.04E+07 1.01E+07 9.24E+06 8.07E+06 6.73E+06 5.37E+06 4.11E+06 3.02E+06 2.13E+06 1.45E+06 9.52E+05 6.02E+05 3.67E+05 2.16E+05 1.22E+05 6.70E+04 3.55E+04 1.81E+04 8.94E+03 4.26E+03 1.97E+03 8.75E+02 3.77E+02 1.57E+02 6.30E+01
  13.00  0.897  3.85E+08 2.38E+08 3.37E+09 3.73E+06 1.08E+07 1.70E+07 2.16E+07 2.45E+07 2.56E+07 2.51E+07 2.32E+07 2.05E+07 1.72E+07 1.39E+07 1.08E+07 8.05E+06 5.78E+06 4.00E+06 2.67E+06 1.72E+06 1.07E+06 6.42E+05 3.73E+05 2.09E+05 1.13E+05 5.95E+04 3.02E+04 1.48E+04 7.03E+03 3.23E+03 1.44E+03 6.18E+02 2.57E+02
  14.00  0.931  9.64E+08 5.80E+08 8.35E+09 8.76E+06 2.55E+07 4.00E+07 5.11E+07 5.82E+07 6.11E+07 6.02E+07 5.62E+07 5.00E+07 4.25E+07 3.47E+07 2.72E+07 2.06E+07 1.50E+07 1.05E+07 7.13E+06 4.67E+06 2.96E+06 1.81E+06 1.07E+06 6.15E+05 3.41E+05 1.83E+05 9.52E+04 4.79E+04 2.34E+04 1.10E+04 5.05E+03 2.24E+03 9.62E+02
  15.00  0.963  2.33E+09 1.37E+09 2.00E+10 2.00E+07 5.83E+07 9.16E+07 1.17E+08 1.34E+08 1.42E+08 1.40E+08 1.32E+08 1.18E+08 1.01E+08 8.35E+07 6.62E+07 5.06E+07 3.73E+07 2.66E+07 1.83E+07 1.22E+07 7.82E+06 4.87E+06 2.94E+06 1.72E+06 9.72E+05 5.33E+05 2.83E+05 1.46E+05 7.29E+04 3.53E+04 1.66E+04 7.54E+03 3.33E+03
  16.00  0.995  5.47E+09 3.13E+09 4.65E+10 4.45E+07 1.30E+08 2.04E+08 2.63E+08 3.01E+08 3.19E+08 3.18E+08 3.01E+08 2.71E+08 2.34E+08 1.95E+08 1.56E+08 1.20E+08 8.98E+07 6.47E+07 4.51E+07 3.04E+07 1.99E+07 1.26E+07 7.71E+06 4.58E+06 2.64E+06 1.48E+06 8.01E+05 4.21E+05 2.15E+05 1.06E+05 5.11E+04 2.39E+04 1.08E+04
  17.00  1.026  1.25E+10 7.00E+09 1.05E+11 9.67E+07 2.82E+08 4.45E+08 5.73E+08 6.60E+08 7.02E+08 7.02E+08 6.68E+08 6.06E+08 5.28E+08 4.42E+08 3.57E+08 2.78E+08 2.10E+08 1.53E+08 1.08E+08 7.36E+07 4.87E+07 3.13E+07 1.95E+07 1.18E+07 6.89E+06 3.92E+06 2.16E+06 1.16E+06 6.03E+05 3.05E+05 1.50E+05 7.14E+04 3.31E+04
  18.00  1.055  2.78E+10 1.53E+10 2.33E+11 2.06E+08 6.00E+08 9.48E+08 1.22E+09 1.41E+09 1.51E+09 1.52E+09 1.45E+09 1.32E+09 1.16E+09 9.78E+08 7.96E+08 6.26E+08 4.76E+08 3.50E+08 2.50E+08 1.73E+08 1.16E+08 7.52E+07 4.75E+07 2.91E+07 1.73E+07 1.00E+07 5.62E+06 3.06E+06 1.62E+06 8.36E+05 4.19E+05 2.04E+05 9.64E+04
  19.00  1.084  6.04E+10 3.27E+10 5.04E+11 4.28E+08 1.25E+09 1.98E+09 2.56E+09 2.96E+09 3.18E+09 3.20E+09 3.07E+09 2.82E+09 2.49E+09 2.11E+09 1.73E+09 1.37E+09 1.05E+09 7.83E+08 5.64E+08 3.94E+08 2.67E+08 1.76E+08 1.12E+08 6.98E+07 4.21E+07 2.47E+07 1.41E+07 7.80E+06 4.20E+06 2.20E+06 1.12E+06 5.57E+05 2.69E+05
  20.00  1.112  1.29E+11 6.84E+10 1.07E+12 8.77E+08 2.56E+09 4.06E+09 5.26E+09 6.10E+09 6.56E+09 6.64E+09 6.40E+09 5.91E+09 5.24E+09 4.48E+09 3.69E+09 2.95E+09 2.28E+09 1.71E+09 1.24E+09 8.77E+08 6.01E+08 4.00E+08 2.58E+08 1.62E+08 9.93E+07 5.90E+07 3.41E+07 1.92E+07 1.05E+07 5.60E+06 2.90E+06 1.46E+06 7.19E+05
  22.50  1.180  1.14E+12 4.03E+11 6.47E+12 4.89E+09 1.43E+10 2.27E+10 2.96E+10 3.45E+10 3.73E+10 3.81E+10 3.71E+10 3.46E+10 3.11E+10 2.69E+10 2.25E+10 1.83E+10 1.44E+10 1.10E+10 8.16E+09 5.88E+09 4.13E+09 2.81E+09 1.87E+09 1.21E+09 7.59E+08 4.65E+08 2.77E+08 1.61E+08 9.13E+07 5.04E+07 2.71E+07 1.42E+07 7.25E+06
  25.00  1.244  6.53E+12 2.16E+12 3.55E+13 2.50E+10 7.31E+10 1.16E+11 1.52E+11 1.78E+11 1.94E+11 1.99E+11 1.96E+11 1.84E+11 1.67E+11 1.46E+11 1.24E+11 1.02E+11 8.17E+10 6.34E+10 4.79E+10 3.52E+10 2.51E+10 1.75E+10 1.19E+10 7.86E+09 5.06E+09 3.18E+09 1.95E+09 1.16E+09 6.79E+08 3.86E+08 2.14E+08 1.16E+08 6.13E+07
  30.00  1.362  2.54E+14 4.94E+13 8.48E+14 5.25E+11 1.54E+12 2.46E+12 3.23E+12 3.82E+12 4.19E+12 4.36E+12 4.34E+12 4.14E+12 3.82E+12 3.42E+12 2.96E+12 2.49E+12 2.04E+12 1.63E+12 1.26E+12 9.55E+11 7.05E+11 5.08E+11 3.57E+11 2.45E+11 1.64E+11 1.08E+11 6.89E+10 4.31E+10 2.63E+10 1.57E+10 9.18E+09 5.24E+09 2.92E+09
  40.00  1.573  1.33E+17 1.33E+16 2.44E+17 1.24E+14 3.65E+14 5.85E+14 7.75E+14 9.25E+14 1.03E+15 1.09E+15 1.10E+15 1.08E+15 1.02E+15 9.33E+14 8.33E+14 7.24E+14 6.14E+14 5.08E+14 4.10E+14 3.24E+14 2.51E+14 1.89E+14 1.40E+14 1.01E+14 7.20E+13 5.00E+13 3.40E+13 2.27E+13 1.48E+13 9.49E+12 5.95E+12 3.66E+12 2.21E+12
  50.00  1.759  1.95E+19 1.94E+18 3.75E+19 1.62E+16 4.79E+16 7.72E+16 1.03E+17 1.24E+17 1.39E+17 1.48E+17 1.52E+17 1.51E+17 1.45E+17 1.36E+17 1.23E+17 1.10E+17 9.53E+16 8.09E+16 6.73E+16 5.47E+16 4.37E+16 3.41E+16 2.62E+16 1.97E+16 1.45E+16 1.05E+16 7.45E+15 5.19E+15 3.55E+15 2.39E+15 1.58E+15 1.02E+15 6.50E+14
  60.00  1.927  1.85E+21 1.83E+20 3.68E+21 1.40E+18 4.14E+18 6.69E+18 8.95E+18 1.08E+19 1.22E+19 1.32E+19 1.37E+19 1.37E+19 1.33E+19 1.26E+19 1.17E+19 1.06E+19 9.34E+18 8.08E+18 6.86E+18 5.71E+18 4.66E+18 3.74E+18 2.94E+18 2.27E+18 1.73E+18 1.29E+18 9.44E+17 6.80E+17 4.82E+17 3.36E+17 2.30E+17 1.55E+17 1.03E+17
  70.00  2.081  1.25E+23 1.23E+22 2.57E+23 8.79E+19 2.60E+20 4.21E+20 5.64E+20 6.85E+20 7.80E+20 8.46E+20 8.83E+20 8.93E+20 8.78E+20 8.41E+20 7.87E+20 7.21E+20 6.46E+20 5.68E+20 4.90E+20 4.15E+20 3.45E+20 2.82E+20 2.27E+20 1.79E+20 1.39E+20 1.06E+20 8.00E+19 5.92E+19 4.31E+19 3.09E+19 2.18E+19 1.51E+19 1.04E+19
  80.00  2.225  6.49E+24 6.36E+23 1.37E+25 4.26E+21 1.26E+22 2.04E+22 2.75E+22 3.35E+22 3.83E+22 4.18E+22 4.39E+22 4.47E+22 4.43E+22 4.28E+22 4.04E+22 3.74E+22 3.40E+22 3.02E+22 2.64E+22 2.27E+22 1.92E+22 1.59E+22 1.30E+22 1.05E+22 8.28E+21 6.46E+21 4.95E+21 3.74E+21 2.79E+21 2.04E+21 1.48E+21 1.05E+21 7.39E+20
  90.00  2.360  2.70E+26 2.64E+25 5.82E+26 1.67E+23 4.94E+23 8.02E+23 1.08E+24 1.32E+24 1.52E+24 1.66E+24 1.75E+24 1.80E+24 1.79E+24 1.74E+24 1.66E+24 1.55E+24 1.42E+24 1.28E+24 1.13E+24 9.83E+23 8.41E+23 7.08E+23 5.87E+23 4.79E+23 3.85E+23 3.05E+23 2.38E+23 1.83E+23 1.39E+23 1.04E+23 7.66E+22 5.57E+22 3.99E+22
 100.00  2.487  9.34E+27 9.07E+26 2.05E+28 5.45E+24 1.61E+25 2.63E+25 3.55E+25 4.35E+25 5.00E+25 5.50E+25 5.84E+25 6.01E+25 6.02E+25 5.90E+25 5.66E+25 5.33E+25 4.92E+25 4.47E+25 3.99E+25 3.50E+25 3.03E+25 2.58E+25 2.16E+25 1.79E+25 1.46E+25 1.17E+25 9.26E+24 7.23E+24 5.57E+24 4.23E+24 3.18E+24 2.35E+24 1.72E+24
 110.00  2.609  2.75E+29 2.66E+28 6.12E+29 1.52E+26 4.52E+26 7.36E+26 9.95E+26 1.22E+27 1.41E+27 1.56E+27 1.66E+27 1.71E+27 1.73E+27 1.70E+27 1.64E+27 1.55E+27 1.45E+27 1.32E+27 1.19E+27 1.05E+27 9.20E+26 7.91E+26 6.70E+26 5.60E+26 4.61E+26 3.75E+26 3.01E+26 2.38E+26 1.86E+26 1.43E+26 1.09E+26 8.20E+25 6.08E+25
 120.00  2.725  7.04E+30 6.76E+29 1.58E+31 3.72E+27 1.10E+28 1.80E+28 2.44E+28 3.00E+28 3.47E+28 3.83E+28 4.10E+28 4.25E+28 4.30E+28 4.26E+28 4.13E+28 3.94E+28 3.69E+28 3.39E+28 3.07E+28 2.74E+28 2.41E+28 2.09E+28 1.79E+28 1.51E+28 1.26E+28 1.03E+28 8.37E+27 6.70E+27 5.30E+27 4.13E+27 3.19E+27 2.43E+27 1.83E+27
 130.00  2.836  1.59E+32 1.52E+31 3.62E+32 8.04E+28 2.39E+29 3.89E+29 5.28E+29 6.51E+29 7.54E+29 8.37E+29 8.96E+29 9.33E+29 9.48E+29 9.43E+29 9.19E+29 8.80E+29 8.28E+29 7.67E+29 6.99E+29 6.29E+29 5.57E+29 4.87E+29 4.19E+29 3.57E+29 3.00E+29 2.48E+29 2.03E+29 1.64E+29 1.31E+29 1.04E+29 8.08E+28 6.23E+28 4.74E+28
 140.00  2.943  3.22E+33 3.06E+32 7.39E+33 1.56E+30 4.63E+30 7.57E+30 1.03E+31 1.27E+31 1.47E+31 1.64E+31 1.76E+31 1.84E+31 1.87E+31 1.87E+31 1.83E+31 1.76E+31 1.66E+31 1.55E+31 1.42E+31 1.28E+31 1.15E+31 1.01E+31 8.75E+30 7.50E+30 6.35E+30 5.30E+30 4.38E+30 3.57E+30 2.88E+30 2.30E+30 1.81E+30 1.41E+30 1.08E+30
